substrate,reaction,flux_mmol_gDCW_h
formate,ACONT,0.36576053427108857
formate,AKGDH,0
formate,CS,0.36576053427108857
formate,EDA,0
formate,EDD,0
formate,ENO,3.982996666214813
formate,FBA,-9.838121407527721
formate,FBP,9.838121407527721
formate,FUM,0.25798901970047805
formate,G6PDH,0
formate,GAPDH,-24.620137951356405
formate,ICDH,0.9749166900498968
formate,ICL,0
formate,MALS,0
formate,MDH,0.25798901970047805
formate,ME,0
formate,PC,0
formate,PDH,0.2490887294138954
formate,PGI,-0.0028957234859466555
formate,PGK,24.620137951356405
formate,PGL,0
formate,PGM,-3.982996666214813
formate,PPC,3.7158068238199315
formate,PRUK,14.301567308785607
formate,PYK,0
formate,RPE,-9.70915981457034
formate,RPI,4.606675673925759
formate,RUBISCO,14.301567308785607
formate,SUCD,0.002575543765439599
formate,SUCOAS,0.08474624759002068
formate,TAL,-4.794244183104986
formate,TKT1,-4.789900597876066
formate,TKT2,-4.919259216694275
formate,TPI,-9.867693999969852
fructose,ACONT,1.445280994185922
fructose,AKGDH,1.1713894345444376
fructose,CS,1.445280994185922
fructose,EDA,2.769619997097643
fructose,EDD,2.769619997097643
fructose,ENO,2.404363547890477
fructose,FBA,0
fructose,FBP,0
fructose,FUM,1.3667629501537308
fructose,G6PDH,2.769619997097643
fructose,GAPDH,2.6331532116756957
fructose,ICDH,-0.2381984874637837
fructose,ICL,0
fructose,MALS,0
fructose,MDH,1.3667629501537308
fructose,ME,0
fructose,PC,0
fructose,PDH,3.580747958800865
fructose,PGI,-2.772135572363528
fructose,PGK,-2.6331532116756957
fructose,PGL,2.769619997097643
fructose,PGM,-2.404363547890477
fructose,PPC,0.8386384626150063
fructose,PRUK,0
fructose,PYK,1.3702177388702828
fructose,RPE,-0.1323483828022156
fructose,RPI,-0.11993777275764915
fructose,RUBISCO,0
fructose,SUCD,1.1739579252998913
fructose,SUCOAS,-1.1088393800537362
fructose,TAL,-0.022929271532852874
fructose,TKT1,-0.019155908634026275
fructose,TKT2,-0.11319247416818935
fructose,TPI,-0.024649387191676437
